time_h,bc_rate_frac,P_bar,T_C,subcooling_C,holdup,v_m_mps,f_slug_Hz,phi_hydrate,deposit_mm,Phi_SH
0.82496,1,121.89,21.9,-17.496,0.52041,2.2095,0.1322,0,0,0.014385
0.831,1,121.93,21.945,-17.539,0.51922,2.2005,0.13222,0,0,0.014468
0.83703,1,121.98,21.991,-17.582,0.51719,2.1946,0.13223,0,0,0.014524
0.84304,1,122.02,22.035,-17.624,0.51445,2.1893,0.13224,0,0,0.014559
0.84903,1,122.07,22.079,-17.666,0.51116,2.1826,0.13226,0,0,0.014589
0.855,1,122.14,22.123,-17.706,0.50757,2.1705,0.13228,0,0,0.014641
0.86096,1,122.21,22.165,-17.744,0.50385,2.1557,0.13231,0,0,0.01472
0.8669,1,122.14,22.209,-17.791,0.49908,2.2209,0.13226,0,0,0.014417
0.87282,1,122.01,22.253,-17.844,0.49383,2.2842,0.13219,0,0,0.013942
0.87858,1,121.85,22.297,-17.898,0.48839,2.3359,0.1321,0,0,0.013411
0.88421,1,121.67,22.341,-17.953,0.48286,2.3802,0.13201,0,0,0.012858
0.88975,1,121.49,22.386,-18.009,0.47738,2.4214,0.13191,0,0,0.012292
0.89521,1,121.31,22.43,-18.065,0.47206,2.4551,0.13182,0,0,0.011742
0.90062,1,121.09,22.476,-18.123,0.46668,2.5055,0.1317,0,0,0.011115
0.90603,1,120.93,22.522,-18.179,0.46161,2.511,0.13162,0,0,0.010632
0.91154,1,120.84,22.569,-18.231,0.45699,2.4875,0.13157,0,0,0.010332
0.91719,1,120.79,22.616,-18.281,0.45286,2.4631,0.13154,0,0,0.01014
0.92289,1,120.77,22.662,-18.328,0.44921,2.4401,0.13152,0,0,0.01002
0.92866,1,120.77,22.708,-18.375,0.44606,2.42,0.13151,0,0,0.0099483
0.93448,1,120.78,22.753,-18.42,0.4434,2.404,0.1315,0,0,0.0099042
0.94034,1,120.79,22.799,-18.465,0.44122,2.3914,0.1315,0,0,0.009878
0.94623,1,120.8,22.843,-18.51,0.43948,2.382,0.1315,0,0,0.0098624
0.95213,1,120.81,22.888,-18.554,0.43817,2.3749,0.13149,0,0,0.0098537
0.95805,1,120.82,22.932,-18.598,0.43725,2.3697,0.13149,0,0,0.00985
0.96397,1,120.82,22.976,-18.642,0.43668,2.3657,0.13148,0,0,0.0098505
0.9699,1,120.83,23.019,-18.685,0.43643,2.3625,0.13147,0,0,0.0098548
0.97583,1,120.83,23.062,-18.728,0.43645,2.3597,0.13147,0,0,0.0098632
0.98176,1,120.83,23.105,-18.771,0.43671,2.3571,0.13146,0,0,0.0098756
0.98769,1,120.84,23.148,-18.814,0.43716,2.3546,0.13145,0,0,0.0098922
0.99362,1,120.84,23.19,-18.857,0.43777,2.3521,0.13145,0,0,0.0099126
0.99955,1,120.84,23.232,-18.899,0.4385,2.3494,0.13144,0,0,0.0099368
1.0055,1,120.85,23.274,-18.94,0.43932,2.3466,0.13143,0,0,0.0099644
1.0114,1,120.85,23.315,-18.982,0.44019,2.3437,0.13143,0,0,0.009995
1.0173,1,120.86,23.356,-19.022,0.4411,2.3387,0.13142,0,0,0.010037
1.0233,1,120.89,23.396,-19.061,0.44213,2.3226,0.13143,0,0,0.01013
1.0292,1,120.92,23.437,-19.1,0.44318,2.3154,0.13144,0,0,0.010217
1.0352,1,120.95,23.477,-19.138,0.44434,2.3087,0.13144,0,0,0.010306
1.0412,1,120.98,23.517,-19.177,0.4456,2.3036,0.13145,0,0,0.010394
1.0472,1,121,23.556,-19.215,0.44703,2.2985,0.13145,0,0,0.010484
1.0532,1,121.03,23.595,-19.253,0.44864,2.2944,0.13146,0,0,0.010575
1.0593,1,121.05,23.635,-19.291,0.45047,2.2902,0.13146,0,0,0.01067
